Ethnicity,Language & Origin,Primary homeland,"Subgroups, tribes & castes",Majority (plurality) religion and sect
Papel,Niger–Congo → Atlantic → Senegambian → Papel,Biombo Region (Guinea-Bissau),,Christianity → Catholicism
Pare,Niger–Congo → Bantu → Pare,Pare Mountains (Tanzania),,Islam
Pashayi,Indo-European → Indo-Aryan → Dardic → Pashayi[note 2],"Afghanistan (Laghman, Kapisa and Nangarhar Provinces)",,Islam
Pashtuns,Indo-European → Iranian → Pashto,"Pashtunistan (Afghanistan, Pakistan)","Pashtun Americans, Kakar",Islam → Sunni Islam
Pedi,Niger–Congo → Bantu → Sotho–Tswana → Sepedi,Limpopo (South Africa),,Christianity
Pende,Niger–Congo → Bantu → Pende,Democratic Republic of the Congo,,Christianity
Persians,Indo-European → Iranian → Persian,Iran,"Tat, along with significant populations in the United States, the United Arab Emirates, Canada, Germany, the United Kingdom, Bahrain, Australia, and Sweden",Islam → Shia Islam
Poles,Indo-European → Slavic → Polish,Poland,"Significant populations in the United States, Brazil, Germany, Canada, Iceland, Sweden, France, the United Kingdom, Argentina, Belarus, Russia, Australia, Lithuania, Ukraine, Ireland, and Norway",Christianity → Catholicism
Portuguese,Indo-European → Romance → Portuguese,Portugal,"Azoreans, Madeirans, along with numerous colonial descendants such as Brazilians (including Ribeirinhos and Pardo Brazilians), Cape Verdeans, São Toméans, Portuguese Angolans, Portuguese Mozambicans, Luso-Indians, Macanese, Kristangs, and Portuguese Burghers",Christianity → Catholicism
Punjabis,Indo-European → Indo-Aryan → Punjabi,"Punjab (Pakistan, India)","Sikhs, Gujjars, Jat, Khatris, Arain, Awan, along with significant populations in the United Kingdom, Canada, and the United States.","Islam → Sunni Islam, Hinduism, Sikhism"
Purépecha,Purépecha,Michoacán (Mexico),,Christianity → Catholicism
Qashqai,Turkic → Oghuz → Qashqai,Fars Province (Iran),,Islam → Shia Islam
Qiang,Sino-Tibetan → Qiangic[note 2],Ngawa Tibetan and Qiang Autonomous Prefecture (China),,Qiang folk religion
Quechua,Quechuan[note 2],"Peru, Bolivia, Ecuador","Yaru, Cusco, Ayacucho, along with Mestizos such as Peruvians, Ecuadorians, and Bolivians",Christianity → Catholicism
Rade,Austronesian → Chamic → Rade,"Central Highlands, Vietnam",,Christianity
Rajasthanis,Indo-European → Indo-Aryan → Hindustani → Rajasthani,Rajasthan (India),"Banjara, Gurjars, Rajputs (including Mahyavanshi, Chandels, and Molesalam), Marwari, Charan, Kachhi, Meena",Hinduism
Rajbongshi,Indo-European → Indo-Aryan → Kamtapuri,"India (Assam, West Bengal), Bangladesh",,Hinduism
Rakhine,Sino-Tibetan → Burmese → Arakanese,Rakhine State (Myanmar),Marma,Buddhism → Theravada Buddhism
Rejangese,Austronesian → Malayo-Polynesian → Land Dayak → Rejang,Rejang Lebong Regency (Indonesia),,Islam → Sunni Islam
Rohingyas,Indo-European → Indo-Aryan → Rohingya,Rakhine State (Myanmar),,Islam
Roma,Indo-European → Indo-Aryan → Romani,"Europe (Bulgaria, Hungary, Romania, North Macedonia, Serbia, Slovakia, Czech Republic)[note 29]","Roma (including Austrian Roma), Iberian Kale, Finnish Kale, Welsh Kale, Romanichal, Sinti, Manush, Romanisæl, Ashkali and Balkan Egyptians, Boyash, Lom, Dom (including Halebi, Lori, and Madari), along with significant populations in the United States, and Brazil.",Christianity
Romanians,Indo-European → Romance → Romanian,"Romania, Moldova","Significant populations in Italy, Germany, Spain, Ukraine, the United Kingdom, France, and the United States.",Christianity → Eastern Orthodoxy
Russians,Indo-European → Slavic → Russian,"Russia, Donetsk, Luhansk","Cossacks, Pomors, Lipovans, along with significant populations in Ukraine, Kazakhstan, Germany, the United States, Uzbekistan, Israel, Brazil, Belarus, Canada, Latvia, Kyrgyzstan, Moldova, Estonia, Turkmenistan, France, Lithuania and Azerbaijan.",Christianity → Eastern Orthodoxy
Rusyns,Indo-European → Slavic → Rusyn,"Carpathian Ruthenia (Ukraine, Slovakia, Poland)[note 55]","Pannonian Rusyns, Lemkos, Hutsuls, Boykos",Christianity
Ryukyuans,Japonic → Ryukyuan[note 56],Ryukyu Islands (Japan),"Amami (including Kikai, Amami Ōshima, Tokunoshima, Okinoerabu, and Yoron), Okinawan (including Kunigami) Miyako, Yaeyama, Yonaguni",Ryukyuan religion
Saho,Afroasiatic → Cushitic → Saho,Eritrea,,Islam
Salar,Turkic → Oghuz → Salar,"China (Qinghai, Gansu)",,Islam → Sunni Islam
Sama-Bajau,Austronesian → Malayo-Polynesian → Barito → Sama–Bajaw[note 2],"Maritime Southeast Asia (Philippines, Malaysia, Indonesia, Brunei)[note 29]","Sama (including Banguingui), Bajaw, Abaknon",Islam → Sunni Islam
Sambal,Austronesian → Philippine → Sambalic[note 2],Zambales (Philippines),"Bolinao, Botolan (including Banguingui)",Christianity → Catholicism
Sámi,Uralic → Sámi[note 2],"Sápmi (Norway, Sweden, Finland, Russia)","Inari Sámi, Kildin Sami, Lule Sami, Northern Sami, Pite Sami, Skolt Sami, Southern Sámi, Ter Sami, Ume Sámi",Christianity → Protestantism → Lutheranism
Samoans,Austronesian → Polynesian → Samoan,"Samoan Islands (Samoa, American Samoa)",American Samoans,Christianity
Sangirese,Austronesian → Philippine → Sangirese,Sangihe Islands (Indonesia),,Christianity → Protestantism
Santal,Austroasiatic → Munda → Santali,"India (West Bengal, Jharkhand, Odisha)[note 3]",,Christianity → Catholicism
Sara,Nilo-Saharan → Central Sudanic → Sara[note 2],"Chad, Central African Republic","Ngambay, Doba, Laka, Kabba, Sar, Mbay, Ngam, Dagba, Gulay",Traditional African religions
Sardinians,Indo-European → Romance → Sardinian,Sardinia (Italy),,Christianity → Catholicism
Sasak,Austronesian → Sasak,Lombok (Indonesia),,Islam
Savu,Austronesian → Sumba–Flores → Sumba → Hawu,Savu (Indonesia),,Christianity → Protestantism
Scots,"Indo-European → Germanic → Scots, Indo-European → Celtic → Scottish Gaelic[note 22]",Scotland (United Kingdom),"Ulster Scots, Orcadians, Shetlanders, Highlanders, Lowlanders, Highland Travellers, along with significant populations in the United States (including Scotch-Irish Americans), Canada, Australia, Argentina, and the Bahamas",Christianity → Protestantism → Calvinism
Semnanis,Indo-European → Iranian → Western Iranian → Semnani,"Semnan, Iran",,Islam → Shia Islam → Twelver Shi'ism
Senufo,Niger–Congo → Senufo[note 2],"Mali, Ivory Coast, Burkina Faso","Nafana, Minyanka",Traditional African religions
Serbs,Indo-European → Slavic → Serbo-Croatian → Serbian,"Serbia, Republika Srpska (Bosnia and Herzegovina), Montenegro","Kosovo Serbs, Triestine Serbs, along with significant populations in Croatia, Germany, Austria, France, and Sweden",Christianity → Eastern Orthodoxy
Serer,Niger–Congo → West Atlantic → Senegambian → Serer,Senegal,"Laalaa, Ndut, Niominka, Serer-Noon, Palor, Saafi",Islam
Setos,Uralic → Finnic → Seto,"Setomaa (Setomaa Parish, Estonia and Pechorsky District, Russia)",,"Christianity → Eastern Orthodoxy, Folk religion"
Shan,Kra–Dai → Tai → Shan,Shan State (Myanmar),,Buddhism → Theravada Buddhism
Sharchops,Sino-Tibetan → Tshangla,"Bhutan (Lhuntse, Mongar, Pemagatshel, Samdrup Jongkhar, Trashigang, and Trashiyangtse Districts)",,Buddhism → Tibetan Buddhism
Sherbro,Niger–Congo → Atlantic → Mel → Sherbro,Sherbro Island (Sierra Leone),,Traditional African religions
Shilluk,Nilo-Saharan → Nilotic → Luo → Shilluk,South Sudan,Gule,Christianity → Catholicism
Shona,Niger–Congo → Bantu → Shona,Mashonaland (Zimbabwe),"Manyika, Ndau",Christianity
Sibe,Tungusic → Xibe[note 48],"China (Liaoning, Jilin, Xinjiang)[note 3]",,Shamanism[note 24]
Sidama,Afroasiatic → Cushitic → Sidaama,Sidamia (Ethiopia),,Christianity
Siddi,Niger–Congo → Bantu → Swahili[note 57] → Sidi,"Pakistan (Baluchistan, Sindh), India (Karnataka, Gujarat, Hyderabad)",,Islam
Sika,Austronesian → Flores–Lembata → Sika,Sikka Regency (Indonesia),,Christianity → Catholicism
Siltʼe,Afroasiatic → Semitic  → Ethiopic → Gurage → Siltʼe,Siltia (Ethiopia),,Islam
Sindhis,Indo-European → Indo-Aryan → Sindhi,Sindh (Pakistan),"Jat, Memon, Arain, Indian Sindhis","Islam → Sunni Islam → Hanafi, Hinduism"
Sinhalese,Indo-European → Indo-Aryan → Sinhala,Sri Lanka,"Dewa, British Sri Lankans, Burghers (including Portuguese Burghers and Dutch Burghers)",Buddhism → Theravada Buddhism
Sioux,Siouan → Sioux[note 58],Lakotah (United States),"Lakota, Dakota, Nakota",Native American religion
Slovaks,Indo-European → Slavic → Slovak,Slovakia,"significant populations in Czech Republic, Serbia, Hungary, United States and Canada",Christianity → Catholicism
Slovenes,Indo-European → Slavic → Slovene,Slovenia,"Carinthian Slovenes, Italy Slovenes",Christianity → Catholicism
Soga,Niger–Congo → Bantu → Soga,Busoga (Uganda),,"Christianity, Traditional African religions"
Somalis,Afroasiatic → Cushitic → Somali,"Greater Somalia (Somalia, Ethiopia, Djibouti, Kenya)","Hawiye, Darod (including Majeerteen), Isaaq, Dir, Rahanweyn, Madhiban, Yibir, Ajuran along with significant populations in the United States, the United Kingdom, Sweden, and Canada",Islam → Sunni Islam → Shafi'i
Songhai,Nilo-Saharan → Songhai,"Mali, Niger",Zarma,Islam
Soninke,Niger–Congo → Mande → Soninke,Mali,Haratin,Islam → Sunni Islam → Maliki
Sotho,Niger–Congo → Bantu → Sotho–Tswana → Sotho,"Free State (South Africa), Lesotho",,Christianity
Spaniards,"Indo-European → Romance → Spanish, Indo-European → Romance → Asturleonese languages[note 59]",Spain[note 60],"Castilians, Andalusians, Asturians (including Vaqueiros de alzada), Leonese, Cantabrians, Riojans, Aragonese, Manchegans, Extremadurans, Mirandese, Canary Islanders (including Isleños), Criollos, Mercheros, along with numerous colonial descendants such as Hispanos (including Californios, Tejanos, and Neomexicanos), Mexicans, Guatemalans (including Hispanic Belizeans), Salvadorans, Hondurans, Nicaraguans, Costa Ricans, Panamanians, Colombians, Venezuelans, Ecuadorians, Peruvians, Bolivians, Paraguayans, Chileans, Argentines, Uruguayans, Cubans, Dominicans, Zamboangueños, Puerto Ricans, Fernandinos, and Spanish Filipinos",Christianity → Catholicism
Sui,Kra–Dai → Kam–Sui → Sui,Sandu Shui Autonomous County (China),,Animism
Sukuma,Niger–Congo → Bantu → Sukuma,Tanzania,,Christianity → Catholicism
Sumba,Austronesian → Sumba–Flores → Sumba[note 2],Sumba (Indonesia),"Anakalangu, East Sumbanese, Kodi, Lamboya, West Sumbanese, Mamboru, Wanukaka",Christianity → Protestantism
Sumbawa,Austronesian → Sumbawa,Sumbawa (Indonesia),,Islam
Sundanese,Austronesian → Sundanese,Java (Indonesia),"Bantenese, Baduy, Cirebonese",Islam → Sunni Islam
Surma,Nilo-Saharan → Surmic[note 2],"Ethiopia, South Sudan","Me'en, Mursi, Kichepo",Traditional African religions
Susu,Niger–Congo → Mande → Susu,"Guinea, Kambia (Sierra Leone)",,Islam
Swahili,Niger–Congo → Bantu → Swahili,"Swahili coast (Kenya, Tanzania, Mozambique, Comoros)","Shirazi (including Zanzibaris, Comorians and Maore)",Islam
Swazi,Niger–Congo → Bantu → Nguni → Swazi,"Mpumalanga (South Africa), Eswatini",,Christianity → African Zionism
Swedes,Indo-European → Germanic → Nordic → Swedish,Sweden,"Scanians, Jamtish, Gutnish, along with significant populations in Finland (including Åland Swedes), the United States, Canada, Argentina and the United Kingdom",Christianity → Protestantism → Lutheranism
Tagalogs,Austronesian → Philippine → Tagalog,Philippines,Filipino Americans,Christianity → Catholicism
Tahitians,Austronesian → Polynesian → Tahitian[note 18],Tahiti (France),,Christianity
Tajiks,Indo-European → Iranian → Persian → Tajik,"Afghanistan, Tajikistan, Uzbekistan",Chagatai,Islam → Sunni Islam
Talysh,Indo-European → Iranian → Talysh,"Azerbaijan, Iran",,Islam → Shia Islam
Tama,Nilo-Saharan → Tama,"Chad, Sudan",,Islam
Tamangs,Sino-Tibetan → Tamang,"Nepal, Sikkim","Waiba, Lopchan, Thokar, Lama","Hinduism, Buddhism"
Tamil,Dravidian → Tamil,"Tamil Nadu (India), Sri Lanka (Northern and Eastern Provinces)","Indian Tamils, Sri Lankan Tamils (including Sri Lankan Moors), along with significant populations in Malaysia, South Africa, the United States, Singapore, Canada, the United Kingdom, and France (including Malbars).",Hinduism
Tarok,Niger–Congo → Plateau → Tarok,Plateau State (Nigeria),,Christianity
Tatars,Turkic → Kipchak → Tatar,Tatarstan (Russia),"Volga Tatars, Crimean Tatars, Lipka Tatars, Siberian Tatars, Mishar Tatars, Finnish Tatars, Dobruja Tatars, Chinese Tatars, Nağaybäks, Kryashens,",Islam → Sunni Islam
Tausūg,Austronesian → Philippine → Bisayan → Tausug,Sulu Archipelago (Philippines),,Islam → Sunni Islam
Tboli,Austronesian → Philippine → Tboli,South Cotabato (Philippines),,Anitism
Telugu,Dravidian → Telugu,"India (Andhra Pradesh, Telangana)","Kamma, Reddy, Velama, Kapu, Raju, Madiga, Mala",Hinduism
Temne,Niger–Congo → West Atlantic → Mel → Temne,Northern Sierra Leone (Sierra Leone),,Islam
Thais,Kra–Dai → Tai → Thai,Thailand,"Southern Thai, Khorat, Lanna, Tai Lue, Thai Americans",Buddhism → Theravada Buddhism
Tharus,Indo-European → Indo-Aryan → Tharu,"Terai Region (India, Nepal)","Kathariya, Danuwar, Lampucchwa, Kochila, Sonha, Dangaura, Rana","Hinduism, Buddhism"
Tibetans,Sino-Tibetan → Tibetic[note 2],"Tibet (China), Nepal, Bhutan","Amdolese (including Golok and Tebbu), Khams, Ü-Tsang (including Ngari and Walung), Changpa, Baima",Buddhism → Tibetan Buddhism
Tigrayans,Afroasiatic → Semitic → Ethiopic → Tigrinya,"Eritrean Highlands (Eritrea), Tigrayia (Ethiopia)",,Christianity → Oriental Orthodoxy
Tigre,Afroasiatic → Semitic → Ethiopic → Tigre,Eritrea,,Islam
Tiv,Niger–Congo → Tiv,Benue State (Nigeria),,Christianity
Tiwa,Sino-Tibetan → Sal → Tiwa[note 4],"India (Assam, Meghalaya)",,Hinduism
Toraja,Austronesian → South Sulawesi → Toraja,Tana Toraja (Indonesia),,Christianity → Protestantism
Toro,Niger–Congo → Bantu → Tooro,"Tooro Kingdom, Uganda",,"Christianity, Ruhanga"
Toubou,Nilo-Saharan → Saharan → Tebu[note 2],"Toubouland (Chad, Niger, Sudan, Libya)","Daza, Teda",Islam → Sunni Islam
Toucouleur,Niger–Congo → West Atlantic → Senegambian → Fula → Pulaar,Futa Tooro (Senegal),,Islam
Tripuri,Sino-Tibetan → Sal → Kokborok,Tripura (India),"Jamatia, Murasing",Hinduism
Tsonga,Niger–Congo → Bantu → Tsonga,"Mozambique (Maputo City and Maputo Province, Gaza Province), South Africa (Limpopo, Mpumalanga)",,Christianity → Catholicism
Tswana,Niger–Congo → Bantu → Tswana,"Botswana, South Tswanaland (South Africa)","Balete, Mangwato, Bangwaketse, Bakwena, Batlokwa, Bahurutshe, Bakgatla, Rolong",Christianity
Tujia,Sino-Tibetan → Tujia[note 61],Wuling Mountains (China),,Nuo folk religion
Tuluvas,Tulu,Karnataka(India),,Hinduism
Tupuri,Niger–Congo → Adamawa → Tupuri,"Far North Region (Cameroon), Mayo-Kébbi (Chad)",,Christianity
Turkana,Nilo-Saharan → Nilotic → Turkana,Turkanaland (Kenya),,Christianity → Catholicism
Turkmens,Turkic → Oghuz → Turkmen,"Turkmenistan, Turkmen Sahra, Afghanistan",,Islam → Sunni Islam
Turks,Turkic → Oghuz → Turkish,"Turkey, Northern Cyprus","Turkish Cypriots, Meskhetian Turks, Yörüks, along with significant populations in Bulgaria, Greece, North Macedonia, Germany, France, the United Kingdom, the Netherlands, Austria, Belgium, Sweden, the United States, Syria, and Iraq",Islam → Sunni Islam
Tutsi,Niger–Congo → Bantu → Great Lakes → Rwanda-Rundi[note 37],"Rwanda, Burundi, Kivu (Democratic Republic of the Congo)",Banyamulenge,"Christianity, Islam"
Tuvans,Turkic → Siberian → Tuvan,Tuva (Russia),Tozhu Tuvans,Buddhism → Tibetan Buddhism
Udmurts,Uralic → Permic → Udmurt,Udmurtia (Russia),Besermyan,Christianity → Eastern Orthodoxy
Ukrainians,Indo-European → Slavic → Ukrainian,Ukraine,"Poleshuks, Cossacks, along with significant populations in the United States, Brazil, Kazakhstan, Germany, Canada, Italy, Argentina, the Czech Republic, and Romania",Christianity → Eastern Orthodoxy
Urhobos,Niger–Congo → Edoid → Urhobo,Delta State (Nigeria),,Christianity
Uyghurs,Turkic → Karluk → Uyghur,Uyghuristan (China),Uyghurs in Kazakhstan,Islam → Sunni Islam
Uzbeks,Turkic → Karluk → Uzbek,Uzbekistan,Uzbeks in Russia,Islam → Sunni Islam
Venda,Niger–Congo → Bantu → Tshivenda,Vendaland (South Africa),,"Christianity, Traditional African religions"
Vepsians,Uralic → Finnic → Veps,"Former Veps National Volost (Republic of Karelia, Russia)"
Vietnamese,Austroasiatic → Vietic → Vietnamese,Vietnam,"Muong, Gin, Phen, Chứt, Thổ, Nùng, Giáy, along with significant populations in the United States, Cambodia, France, Australia, Canada, Taiwan, Japan, Korea, Germany and Laos",Buddhism → Mahayana
Visayans,Austronesian → Philippine → Visayan[note 2],Visayas (Philippines),"Aklanon, Butuanon, Cebuano (including Boholano and Eskaya), Caluyanon, Capiznon, Cuyunon, Hiligaynon, Karay-a, Masbateños, Negrenses, Porohanon, Romblomanon (including Bantoanons), Waray",Christianity → Catholicism
Võros,Uralic → Finnic → Võro,Võru County (Estonia),,"Christianity → Eastern Orthodoxy, Christianity → Protestantism → Lutheranism"
Votians,Uralic → Finnic → Votic,Ingria (Russia),,"Christianity → Eastern Orthodoxy, Christianity → Protestantism → Lutheranism"
Wa,Austroasiatic → Palaungic → Wa,Wa State (Myanmar),,"Buddhism, Animism"
Walloons,Indo-European → Romance → French → Walloon[note 62],Wallonia (Belgium),,Christianity → Catholicism
Waxiang,Sino-Tibetan → Chinese → Waxiang Chinese,Hunan (China),,Chinese folk religion
Welayta,Afroasiatic → Omotic → Wolaitta,Wolayitia (Ethiopia),,Christianity → Protestantism → P'ent'ay
Welsh,Indo-European → Celtic → Welsh[note 22],Wales (United Kingdom),"significant populations in Argentina, the United States, Canada, and Australia.",Christianity → Protestantism
Wolof,Niger–Congo → Atlantic → Senegambian → Wolof,"Senegambia (Senegal, The Gambia)",Lebu,Islam → Sunni Islam → Sufism → Mouride
Xhosa,Niger–Congo → Bantu → Nguni → Xhosa,Xhosaland (South Africa),,Christianity
Yakan,Austronesian → Malayo-Polynesian → Barito → Sama–Bajaw → Yakan,Basilan (Philippines),,Islam → Sunni Islam
Yakö,Niger–Congo → Cross River → Yakö,Yakurr Local Government (Nigeria),,Christianity
Yakuts,Turkic → Siberian → Yakut,Yakutia (Russia),,Christianity → Eastern Orthodoxy
Yao,Niger–Congo → Bantu → Yao,"Malawi, Mozambique, Tanzania (Ruvuma and Mtwara Regions)",,Islam and Animism → Yao Folk Islam
Yenish,Indo-European → Germanic → Yenish,"Germany, Austria, Switzerland, Luxembourg, Belgium, and France",,
Yi,Sino-Tibetan → Loloish[note 2],"China (Yunnan, Sichuan, Guizhou, Guangxi)[note 3]","Phù Lá, Azha",Bimoism
Yoa-Lokpa,"Niger–Congo → Gur → Oti–Volta → Yom, Niger–Congo → Gur → Gurunsi → Lukpa",Donga Department (Benin),,
Yoruba,Niger–Congo → Yoruba,"Yorubaland (Nigeria, Benin, Togo)","Egun, Ijesha, Egba, Yewa, Igbomina, Awori, Akoko, Okun, Ana, Ekiti, Ilaje, Ijebu, Oyo, Ondo, Ife, Oku","Islam, Christianity, Yoruba religion"
Zaghawa,Nilo-Saharan → Saharan → Zaghawa,"Chad, Sudan",,Islam → Sunni Islam
Zande,Niger–Congo → Zande,"Democratic Republic of the Congo, Central African Republic, South Sudan",Barambu,Christianity
Zapotecs,Oto-Manguean → Zapotec[note 2],Oaxaca (Mexico),Ixtlán,Christianity → Catholicism
Zhuang,Kra–Dai → Tai → Zhuang[note 2],Zhuangia (China),,Moism
Zomi,Sino-Tibetan → Kuki-Chin–Naga[note 53],"Zogam (Myanmar, Bangladesh, India)","Thadou, Paite, Simte, Zou, Lamkang, Kom, Lushai, Hmar, Koireng, Mizo, Aimol, Mru, Mrucha (including Anu-Hkongso), Bawm, Biate, Chin people Asho",Christianity
Zulu,Niger–Congo → Bantu → Nguni → Zulu,KwaZulu-Natal (South Africa),Northern Ndebele,Christianity
