,word,redact
0,cking,0
1,women,0
2,kelly,1
3,monaco,1
4,chloroform,0
5,boston,1
6,herald,0
7,multiple,0
8,sclerosis,1
9,boobclub,0
10,e-cards,0
11,columbus,1
12,ohio,1
13,catholic,1
14,diocese,0
15,schools,0
16,dubai,1
17,business,0
18,opportunities,0
19,country,0
20,bank,0
21,comedyclubs,0
22,portland,1
23,classic,0
24,short,0
25,ugg,0
26,chestnut,0
27,7,0
28,phosoplex,0
29,everest,0
30,edmund,0
31,hillary,1
32,mhsteca.com,0
33,mastec,0
34,www.myspace.com,0
35,temple,0
36,all,0
37,home,0
38,car,0
39,www.ampmobelsupercross.com,0
40,lombardo,1
41,marsala,1
42,wine,0
43,sauce,0
44,roselyn,1
45,sanchez,1
46,my,0
47,colonial,0
48,arbour,0
49,zenvision,0
50,tulare,1
51,advance,0
52,register,0
53,southphillyreview.com,1
54,www.swedishbeauty.com,1
55,www.taboo.com,0
56,goggle,0
57,search,0
58,california,0
59,unemployment,0
60,services,0
61,stone,0
62,county,0
63,missouri,0
64,jail,0
65,nude,0
66,adapter,0
67,for,0
68,faucets,0
69,millimeter,0
70,www.tchuntfishexpo.com,0
71,ulead,0
72,photo,0
73,explorer,0
74,software,0
75,for,0
76,the,0
77,ic100c,0
78,micro,0
79,webcam,0
80,most,0
81,popular,0
82,kids,0
83,car,0
84,hail,0
85,mary,1
86,megatouch,0
87,elite,0
88,edge,0
89,ion,0
90,nascar.com,0
91,oriental,0
92,weavers,0
93,roman,1
94,catholic,1
95,churches,0
96,in,0
97,red,0
98,bank,0
99,nj,0
100,https,0
101,hls.gehealthcare.com,1
102,geico.com,0
103,cervical,0
104,intra,0
105,neoplasia,1
106,3,0
107,pregnancy,1
108,police,0
109,records,0
110,for,0
111,sutton,1
112,arrest,0
113,in,0
114,1996,0
115,ste.,0
116,genivive,1
117,mo.,1
118,pac,0
119,man,0
120,-,0
121,cingular,0
122,wireless,0
123,careerbuilder,0
124,fucking,0
125,machines,0
126,jaci,1
127,velasquez,1
128,wwwitalconschicago.org,1
129,screensaver,0
130,www.newhorizonsoundnetertainment.com,0
131,berkeley,1
132,county,0
133,public,0
134,school,0
135,best,0
136,over,0
137,the,0
138,counter,0
139,wrinkle,0
140,reducers,0
141,san,1
142,marcos,1
143,school,0
144,district,0
145,career,0
146,builder,0
147,wildcats,0
148,heavy.com,0
149,sinatra,1
150,american,0
151,idol,0
152,and,0
153,cingular,0
154,travellazydays.com,0
155,7th,0
156,episcopal,1
157,district,0
158,jeffsmith,1
159,movie,0
160,zathura,1
161,temporary,0
162,housing,0
163,in,0
164,los,1
165,angeles,1
166,calif.,1
167,music,0
168,sites,0
169,www.ask.com,0
170,hotmail,0
171,vendo,0
172,540,0
173,parts,0
174,download,0
175,free,0
176,full,0
177,version,0
178,detective,0
179,software,0
180,whistler,0
181,canada,0
182,mwww.facebook,0
183,mfelty04,1
184,sprintpcs.com,0
185,wholesale,0
186,hottubs,0
187,somepage,0
188,hot,0
189,shot,0
190,loads,0
191,etf,0
192,newsletter,0
193,selective,0
194,mutism,1
195,kolor,0
196,mother's,0
197,day,0
198,sandusky,1
199,ohio,1
200,villanova,1
201,del,1
202,battista,1
203,1st,0
204,class,0
205,stamp,0
206,label,0
207,address,0
208,flag,0
209,arctic,0
210,edge,0
211,steve,1
212,quayle,1
213,tnlottery.comhttps,0
214,helmet,0
215,salon,0
216,kc,0
217,and,0
218,jojo,0
219,all,0
220,my,0
221,life,0
222,arc.com,0
223,free,0
224,online,0
225,games,0
226,horse,0
227,grinding,0
228,teeth,0
229,map,0
230,of,0
231,all,0
232,cities,0
233,in,0
234,washington,1
235,state,0
236,jensen,0
237,ackele,0
238,polyisocyanurate,0
239,insulation,0
240,brasil,0
241,slingo,0
242,irs.com,0
243,spirial,0
244,shaped,0
245,trees,0